file,best_clique,ants_per_v,final_std,alpha,tmin,tmax,maxCycles,evaporation_rate,p_runs_away_from_maximum,iterations_to_reach_80pct
test,12.0,1.0,0.4818944098266987,2.0,0.1,6.0,11,0.9,0.633,100
test,12.0,1.0,0.4898979485566355,2.0,0.1,6.0,11,0.9,0.6,100
test,12.0,1.0,0.4898979485566355,2.0,0.1,6.0,11,0.9,0.6,100
easy,10.0,0.02,0.5385164807134503,0.0,0.01,2.0,10,0.8,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,2.0,10,0.9,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,2.0,10,0.98,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,2.0,10,0.99,0.9,10
easy,10.0,0.02,0.5473572873361606,0.75,0.01,2.0,10,0.8,0.86,9
easy,11.0,0.02,0.488262224629348,0.75,0.01,2.0,10,0.9,0.9,10
easy,10.0,0.02,0.5230678732248806,0.75,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5444263035526482,0.75,0.01,2.0,10,0.98,0.88,10
easy,10.0,0.02,0.5599999999999997,0.75,0.01,2.0,10,0.99,0.88,10
easy,10.0,0.02,0.5276362383309167,0.98,0.01,2.0,10,0.8,0.88,10
easy,11.0,0.02,0.4651881339845207,0.98,0.01,2.0,10,0.9,0.92,10
easy,11.0,0.02,0.5063595560468869,0.98,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.98,0.01,2.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,0.98,0.01,2.0,10,0.99,0.88,10
easy,10.0,0.02,0.488262224629348,1.0,0.01,2.0,10,0.8,0.9,10
easy,11.0,0.02,0.4833218389437827,1.0,0.01,2.0,10,0.9,0.92,10
easy,11.0,0.02,0.5063595560468869,1.0,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,1.0,0.01,2.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,1.0,0.01,2.0,10,0.99,0.88,10
easy,12.0,0.02,0.4686149805543996,1.1,0.01,2.0,10,0.8,0.88,10
easy,11.0,0.02,0.5276362383309167,1.1,0.01,2.0,10,0.9,0.88,10
easy,11.0,0.02,0.5063595560468869,1.1,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5230678732248806,1.1,0.01,2.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,1.1,0.01,2.0,10,0.99,0.88,10
easy,11.0,0.02,0.4651881339845204,2.0,0.01,2.0,10,0.8,0.92,10
easy,10.0,0.02,0.488262224629348,2.0,0.01,2.0,10,0.9,0.9,10
easy,11.0,0.02,0.5230678732248807,2.0,0.01,2.0,10,0.95,0.9,10
easy,10.0,0.02,0.5230678732248806,2.0,0.01,2.0,10,0.98,0.9,10
easy,10.0,0.02,0.5385164807134503,2.0,0.01,2.0,10,0.99,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,3.0,10,0.8,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,3.0,10,0.9,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,3.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,3.0,10,0.98,0.9,10
easy,10.0,0.02,0.5385164807134503,0.0,0.01,3.0,10,0.99,0.9,10
easy,10.0,0.02,0.5444263035526483,0.75,0.01,3.0,10,0.8,0.88,10
test,12.0,1.0,0.4898979485566355,2.0,0.1,6.0,11,0.9,0.6,100
easy,11.0,0.02,0.4833218389437826,0.75,0.01,3.0,10,0.9,0.92,10
easy,10.0,0.02,0.5230678732248806,0.75,0.01,3.0,10,0.95,0.9,10
easy,10.0,0.02,0.5444263035526482,0.75,0.01,3.0,10,0.98,0.88,10
easy,10.0,0.02,0.5599999999999997,0.75,0.01,3.0,10,0.99,0.88,10
easy,10.0,0.02,0.4898979485566356,0.98,0.01,3.0,10,0.8,0.88,10
easy,11.0,0.02,0.5230678732248807,0.98,0.01,3.0,10,0.9,0.9,10
easy,11.0,0.02,0.5063595560468869,0.98,0.01,3.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,0.98,0.01,3.0,10,0.98,0.9,10
easy,10.0,0.02,0.5444263035526482,0.98,0.01,3.0,10,0.99,0.88,10
easy,10.0,0.02,0.5095095681142802,1.0,0.01,3.0,10,0.8,0.88,10
easy,11.0,0.02,0.5063595560468869,1.0,0.01,3.0,10,0.9,0.9,10
easy,11.0,0.02,0.5063595560468869,1.0,0.01,3.0,10,0.95,0.9,10
easy,10.0,0.02,0.5385164807134503,1.0,0.01,3.0,10,0.98,0.9,10
